0.365,0.845,0.858,0.873,0.901,0.93,0.921,0.936,0.937
0.366,0.634,0.832,0.891,0.911,0.925,0.926,0.939,0.935
0.209,0.603,0.809,0.852,0.895,0.94,0.944,0.942,0.946
0.227,0.547,0.85,0.873,0.912,0.929,0.923,0.938,0.935
0.225,0.446,0.879,0.881,0.916,0.916,0.931,0.946,0.932
0.244,0.554,0.881,0.874,0.916,0.896,0.944,0.94,0.934
0.512,0.822,0.866,0.867,0.891,0.913,0.921,0.929,0.938
0.306,0.714,0.828,0.879,0.911,0.923,0.919,0.938,0.941
0.39,0.557,0.891,0.851,0.926,0.909,0.931,0.936,0.942
0.28,0.447,0.852,0.847,0.9,0.934,0.915,0.933,0.938
