0.23,0.64,0.875,0.908,0.928,0.896,0.878,0.88,0.92
0.613,0.815,0.91,0.92,0.896,0.892,0.905,0.917,0.906
0.519,0.824,0.919,0.887,0.923,0.912,0.903,0.921,0.918
0.405,0.534,0.916,0.919,0.919,0.895,0.92,0.915,0.907
0.569,0.636,0.922,0.921,0.817,0.838,0.903,0.925,0.904
0.772,0.61,0.858,0.808,0.919,0.874,0.899,0.915,0.913
0.352,0.849,0.903,0.831,0.925,0.927,0.907,0.921,0.899
0.379,0.85,0.908,0.91,0.896,0.876,0.924,0.915,0.894
0.42,0.806,0.926,0.918,0.915,0.923,0.913,0.876,0.898
0.524,0.718,0.813,0.931,0.905,0.915,0.913,0.927,0.913
