0.683,0.845,0.881,0.892,0.928,0.927,0.92,0.941,0.948
0.802,0.834,0.88,0.913,0.926,0.928,0.933,0.936,0.954
0.743,0.837,0.892,0.913,0.923,0.932,0.944,0.947,0.951
0.823,0.836,0.874,0.906,0.925,0.931,0.937,0.943,0.948
0.821,0.759,0.834,0.923,0.916,0.933,0.938,0.945,0.939
0.799,0.771,0.865,0.916,0.929,0.93,0.943,0.948,0.941
0.824,0.835,0.868,0.901,0.915,0.929,0.939,0.94,0.942
0.794,0.849,0.904,0.912,0.923,0.935,0.929,0.948,0.95
0.804,0.847,0.894,0.914,0.926,0.929,0.938,0.943,0.946
0.834,0.798,0.813,0.914,0.931,0.924,0.93,0.937,0.948
