0.227,0.477,0.695,0.571,0.915,0.709,0.81,0.921,0.921
0.6,0.352,0.644,0.781,0.785,0.881,0.898,0.927,0.925
0.538,0.424,0.687,0.758,0.839,0.909,0.921,0.921,0.92
0.417,0.52,0.683,0.615,0.779,0.732,0.915,0.923,0.921
0.569,0.309,0.537,0.791,0.839,0.902,0.912,0.83,0.92
0.773,0.274,0.612,0.627,0.867,0.793,0.806,0.927,0.925
0.413,0.573,0.703,0.717,0.679,0.914,0.808,0.847,0.914
0.385,0.394,0.802,0.717,0.801,0.936,0.919,0.813,0.926
0.419,0.767,0.558,0.765,0.726,0.786,0.827,0.925,0.921
0.511,0.356,0.661,0.472,0.93,0.814,0.777,0.924,0.864
