43	#TaylorSwift's Mom Presents #Singer With the Milestone Award at the #2015ACMAwards | #Billboard http://t.co/ru3vHFhdbo #music
44	Paused #MadMen for this. You beautiful humans. Long live all the magic you made. #TaylorSwift #ACM \ud83d\ude2d\ud83d\udc4f\ud83c\udffb https://t.co/8hUufvC9ZY
45	#ACMAwards 2015: #TaylorSwift's Mom Presents Singer With the #MilestoneAward http://t.co/I0fR40Mihb http://t.co/OIAN9r5ejw
46	Instead of watching Taylor Swift recieve that award,you could've been getting down to This.....Sick....Beat.    #taylorswift #shitdougsays
47	I really do not like Taylor Swift now days! She's not country! Get out! #ACMawards50 #TaylorSwift
48	Haters gonna hate, hate, hate..Just Shake It Off! #TaylorSwift  ***Haters are fans??? Yep...here's why? https://t.co/FvQ3631syf via @YouTube
49	How can #TaylorSwift be at #ACMawards50, but Chris Gains isn't?
50	TAYLOR!!!!!! CONGRATS!!!!!! \ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\ude0d\ud83d\ude0d\ud83d\ude0d\ud83d\ude0d@taylorswift13#mamaswift #TaylorSwift https://t.co/tHYaxty9V2
51	Taylor Swift LEAKED PHOTOS WATCH - http://t.co/PDnSDs7GXi #TaylorSwift @taylorswift13
52	New Romantics \ud83d\udc8b\ud83d\udc84#taylorswift #1989 https://t.co/HouWVE6Xnv
53	Did u see #TaylorSwift's gorgeous look by #MaryKay on the #ACMAwards?! #ACM #AcademyOfCountryMusic #ACMawards50 http://t.co/5UjH5iJ1oK
54	Was it just me or did @taylorswift13 mom make everyone cry? #ACMawards50 #taylorswiftsmom #TaylorSwift
55	Did u see #TaylorSwift's gorgeous look by #MaryKay on the #ACMAwards tonight?! Stunning! #ACM #AcademyOfCountryMusic http://t.co/0ZqHDjqHFz
56	'Staying back and watching me shine' #taylorswift https://t.co/T15AcTqdJy
57	Congrats, Taylor!!! #acms #acm50 #taylorswift https://t.co/87NraPdgyK
58	OMG was tearing up watching #TaylorSwift Mom present her w the #Milestone award @ the#CMA's
59	Who's watching the #ACMawards50 for the sole purpose of seeing @taylorswift13? #TaylorSwift
60	#CMAAwards #2015 #TaylorSwift love her dress #GeorgeStrait you rock!
61	\u0e2a\u0e27\u0e22\u0e22\u0e22\u0e2d\u0e30 #TaylorSwift http://t.co/GwwCAT507L
62	http://t.co/xVCK2rFMFB #TaylorSwift Bryan Adams talks Reckless, photography and Taylor Swift *   14
63	Really wanna go to 1989 concert\ud83d\ude29 #TaylorSwift
64	Blank space. Te quiero \u2764 #boyfriend #love #taylorswift  #blankspace #funnymoment #lol #crazy #face\u2026 https://t.co/mGkZBDUqPW
65	Taylor Swift LEAKED PHOTOS WATCH - http://t.co/W7v95MGuOv #TaylorSwift @taylorswift13
66	Taylor Swift Displays Her $40million Dollar Legs PHOTOS - http://t.co/350T92BRpI @taylorswift13 #TaylorSwift #celeb
67	Wait, you're talking me that #GarthBrooks is getting the same award #TaylorSwift got? #ACMawards50 #awardfail
68	Taylor Swift receiving the Milestone Award \ud83d\ude2d\ud83d\ude2d #ACMAwards #TaylorSwift #WellDeserved
69	Taylor Swift's ACM Awards Dress: Wows In Cutout Gown - Hollywood Life http://t.co/Wy7gibQvGw #taylorswift
70	The rest of the world was black &amp; white but we were screaming in color #TaylorSwift #outofthewoods #taylorforever
71	#TaylorSwift #Ticket 2 Tickets-Taylor Swift 1989 World Tour *Chicago, IL 7/18/15*: $299.00 (0\u2026 http://t.co/eNFsx7J2ZC #Tickets #Concert
72	"you and me, we're beautiful, beautiful." #taylorswift (Vine by swiftstrong) https://t.co/U93QdtU0VV
73	#TaylorSwift rocks \ud83d\udc9c\ud83d\udc9c\ud83d\udc9c\ud83d\udc9c\ud83d\udc9c
74	#TaylorSwift #Music Big Lot of Taylor Swift posters &amp; clippings #Z4022: $6.99 (0 Bids) End Date:\u2026 http://t.co/2MS5HIkbHb #onsale #Discount
75	#Fashion #Music Big Lot of #TaylorSwift posters &amp; clippings #Z4022: $6.99 (0 Bids) End Date:\u2026 http://t.co/XRqFtl8imB #Deals #Bargains
76	TIX http://t.co/ElbwawgGbx #TaylorSwift (2)#Ticket 09/22/15 Kansas City Section 116 Row 19 Hard\u2026 http://t.co/HQpn65jYmq #Tickets #Concert
77	A Mother\u2019s Love: Taylor Swift\u2019s Mom Gives Tear-Worthy Speech at Awards Show http://t.co/fo6dfXXaax #ACMawards50 #TaylorSwift
78	ps. #TaylorSwift can do no wrong in my book! love me some #TSwift \ud83d\udc81\ud83c\udffd
79	#TaylorSwift, you should take notes from #MirandaLambert, entertainer of the year.!!! #ACMAward50 #ACMawards50
80	Taylor's at ACM #ACMawards50 #TaylorSwift http://t.co/tzcv5Bqw9X
81	Copia el look de #taylorswift: fresco, natural y con un toque rom\xe1ntico... #copiaellook #tipsglamour\u2026 https://t.co/BhYT0N1qf4
82	Nick ,Olivia and Taylor at the @ACMawards backstage \u2728 #NickJonas #TaylorSwift #ACMs #acmawards http://t.co/Zb1UB4UMz9
83	I teared up!\ud83d\ude48\ud83d\udc9e#TaylorSwift #ACMawards50  https://t.co/NkhlrqAs6f
84	MACO\u304c\u30ab\u30d0\u30fc\u3057\u305fTaylor Swift\u306eWe Are Never Ever Getting Back Together (MACO Japanese Cover) #MACO #\u30c6\u30a4\u30e9\u30fc\u30fb\u30b9\u30a6\u30a3\u30d5\u30c8 #TaylorSwift http://t.co/4ScVUST2uA
85	#ACM50Awards #MilestoneAward #Swifties #taylorswift @taylorswift13  you are the best in the world at what you do. http://t.co/mZ2fllOQtO
86	@taylorswift13 - Such an amazing, talented and all round awesome person, eternal &lt;3 for Miss Swift! #ACMawards50 #TaylorSwift
