0.179,0.266,0.837,0.484,0.932,0.936,0.932,0.934,0.949
0.202,0.318,0.553,0.272,0.2,0.923,0.933,0.937,0.94
0.508,0.208,0.863,0.797,0.921,0.938,0.938,0.952,0.922
0.169,0.368,0.905,0.899,0.92,0.932,0.945,0.944,0.945
0.146,0.5,0.269,0.91,0.906,0.921,0.937,0.946,0.936
0.468,0.406,0.212,0.904,0.926,0.931,0.941,0.942,0.939
0.16,0.204,0.46,0.86,0.9,0.929,0.94,0.943,0.949
0.351,0.248,0.788,0.894,0.909,0.494,0.933,0.942,0.943
0.215,0.531,0.2,0.922,0.748,0.932,0.925,0.95,0.939
0.185,0.244,0.811,0.876,0.753,0.937,0.919,0.94,0.945
