0.696,0.667,0.792,0.853,0.826,0.853,0.9,0.935,0.944
0.738,0.844,0.838,0.849,0.882,0.892,0.896,0.922,0.94
0.711,0.781,0.767,0.885,0.807,0.891,0.91,0.921,0.937
0.72,0.699,0.85,0.81,0.805,0.873,0.916,0.918,0.937
0.79,0.731,0.764,0.817,0.849,0.898,0.894,0.927,0.936
0.786,0.678,0.783,0.766,0.841,0.867,0.91,0.922,0.934
0.669,0.77,0.78,0.774,0.83,0.895,0.91,0.922,0.941
0.658,0.77,0.781,0.799,0.823,0.862,0.884,0.925,0.944
0.768,0.794,0.829,0.833,0.857,0.913,0.914,0.92,0.928
0.701,0.719,0.714,0.831,0.867,0.901,0.918,0.91,0.939
